chain_id,chain_name,product_group_ids,default_product_group_id
115618,2A CONCEPT,"[27, 34, 48]",48.0
121522,KFC,"[6, 26]",6.0
126334,Pizza Express 24,[1],1.0
168510,StreetFoodMarket,[26],26.0
166734,Кулинария Ирины Князевой,"[34, 43]",43.0
150374,БЭТ.ШАВЕРМА,[19],19.0
152542,Subway,"[26, 29]",29.0
115398,Ракета,"[6, 29]",6.0
154162,Быковский,"[1, 5, 6, 25]",5.0
78542,Мушмула,"[5, 27, 30, 37, 51]",37.0
156514,Точно Сочно,"[6, 25]",6.0
141134,Сытый Круассан,[30],30.0
150134,Subway,"[26, 29]",29.0
161182,Coffee Cake,"[27, 34, 52]",34.0
144878,The doner,[26],26.0
170526,Сакура,"[1, 2, 19]",2.0
155946,Subway,"[26, 29]",29.0
54026,Суши Мастер,"[2, 20, 51]",2.0
29894,MYBOX,"[1, 2, 18, 36, 51]",2.0
160822,Мечтатели,[37],37.0
81494,Граф Быстров,"[1, 2, 18]",1.0
108066,Шашлык на вынос,[5],5.0
159466,Pizz'n'roll,[1],1.0
124982,White Fox,"[23, 27, 34]",34.0
106930,Italiano Pizza,"[1, 2, 23]",1.0
162578,Сheburek.me,[26],26.0
111118,Bela Kava,"[6, 18, 34, 35]",6.0
165670,Поль Бейкери,"[29, 30, 42, 43]",30.0
145550,БЛИНБЕРИ,"[26, 30, 34]",30.0
81046,Малика,"[27, 44]",27.0
122050,Stardogs,"[26, 28, 29]",28.0
